,Color,Count,RGB
0,#7E97AD,312.218,"126,151,173"
1,#63AAA4,190.865,"99,170,164"
2,#9686B3,179.667,"150,134,179"
3,#A87ABA,91.938,"168,122,186"
4,#4CBA9D,83.094,"76,186,157"
5,#000000,79.893,"0,0,0"
6,#BD6BC0,12.36,"189,107,192"
7,#000018,12.168,"0,0,24"
8,#001707,2.252,"0,23,7"
9,#140025,1.114,"20,0,37"
10,#00182C,0.462,"0,24,44"
11,#002A16,0.397,"0,42,22"
12,#004F3C,0.254,"0,79,60"
13,#292D50,0.171,"41,45,80"
14,#2B0035,0.034,"43,0,53"
15,#003E29,0.031,"0,62,41"
16,#1B1B3F,0.025,"27,27,63"
17,#8B75A6,0.016,"139,117,166"
18,#394261,0.012,"57,66,97"
19,#894592,0.012,"137,69,146"
20,#688398,0.011,"104,131,152"
21,#56125F,0.011,"86,18,95"
22,#577287,0.01,"87,114,135"
23,#40004A,0.009,"64,0,74"
24,#A15DAA,0.009,"161,93,170"
